time_edited,error_signal_edited_mV
0.0,1.7085
0.008,8.9447
0.016,7.3367
0.024,-15.979899999999999
0.032,11.3568
0.04,2.5126
0.048,1.7085
0.056,-15.979899999999999
0.064,7.3367
0.07200000000000001,-15.979899999999999
0.08,5.728599999999999
0.088,-15.1759
0.096,-3.9196
0.10400000000000001,-7.939699999999999
0.112,0.9045
0.12,-12.7638
0.128,-10.3518
0.136,-14.371900000000002
0.14400000000000002,9.748700000000001
0.152,-7.1357
0.16,-11.9598
0.168,-1.5075
0.176,-11.9598
0.184,9.748700000000001
0.192,-6.3317
0.2,-13.5678
0.20800000000000002,11.3568
0.216,-8.7437
0.224,-13.5678
0.232,-12.7638
0.24,-10.3518
0.248,-13.5678
0.256,-3.1156
0.264,-8.7437
0.272,0.1005
0.28,-11.155800000000001
0.28800000000000003,4.9246
0.296,11.3568
0.304,8.140699999999999
0.312,8.9447
0.32,-13.5678
0.328,12.1608
0.336,-15.1759
0.34400000000000003,-13.5678
0.352,3.3166
0.36,-13.5678
0.368,-15.979899999999999
0.376,-8.7437
0.384,-9.5477
0.392,-16.7839
0.4,-14.371900000000002
0.40800000000000003,-11.155800000000001
0.41600000000000004,-17.5879
0.424,4.9246
0.432,-0.7035
0.44,-9.5477
0.448,0.1005
0.456,0.1005
0.464,-11.9598
0.47200000000000003,-14.371900000000002
0.48,-7.939699999999999
0.488,8.9447
0.496,8.140699999999999
0.504,4.9246
0.512,5.728599999999999
0.52,-1.5075
0.528,-7.939699999999999
0.536,-14.371900000000002
0.544,8.9447
0.552,9.748700000000001
0.56,-14.371900000000002
0.5680000000000001,2.5126
0.5760000000000001,-12.7638
0.584,4.1206
0.592,-12.7638
0.6,-11.9598
0.608,-3.9196
0.616,0.1005
0.624,-15.1759
0.632,-12.7638
0.64,11.3568
0.648,-1.5075
0.656,10.5528
0.664,-16.7839
0.672,-15.1759
0.68,-17.5879
0.6880000000000001,3.3166
0.6960000000000001,-8.7437
0.704,3.3166
0.712,-9.5477
0.72,-6.3317
0.728,-4.7236
0.736,3.3166
0.744,-4.7236
0.752,0.1005
0.76,7.3367
0.768,-10.3518
0.776,-15.1759
0.784,-7.939699999999999
0.792,5.728599999999999
