Time (s),Error Signal (mV)
0.0,-4.787999999999999
0.008000000000002672,-8.004000000000001
0.016000000000005343,-12.024
0.02400000000000091,-2.778
0.03200000000000358,7.273
0.03999999999999915,-12.024
0.04800000000000182,-11.622
0.05600000000000449,-5.592
0.06400000000000006,7.273
0.07200000000000273,-9.612
0.0800000000000054,-5.19
0.08800000000000097,-8.406
0.09600000000000364,-5.994
0.1039999999999992,-10.416
0.11200000000000188,6.871
0.12000000000000455,8.077000000000002
0.1280000000000001,2.851
0.13600000000000279,-1.974
0.14400000000000546,-4.386
0.15200000000000102,-1.572
0.1600000000000037,-11.622
0.16799999999999926,-5.592
0.17600000000000193,-11.622
0.1840000000000046,6.067
0.19200000000000017,-5.19
0.20000000000000284,2.851
0.2080000000000055,8.077000000000002
0.21600000000000108,-8.406
0.22400000000000375,-0.768
0.23199999999999932,7.675000000000001
0.240000000000002,-9.612
0.24800000000000466,-9.612
0.2560000000000002,4.4590000000000005
0.2640000000000029,2.851
0.27200000000000557,-7.602
0.28000000000000114,5.263
0.2880000000000038,-11.22
0.2959999999999994,-6.396
0.30400000000000205,0.036000000000000004
0.3120000000000047,6.469
0.3200000000000003,6.067
0.32800000000000296,-11.22
0.3360000000000056,-10.014000000000001
0.3440000000000012,-1.17
0.35200000000000387,6.067
0.35999999999999943,5.263
0.3680000000000021,-12.828000000000001
0.3760000000000048,-3.18
0.38400000000000034,0.438
0.392000000000003,8.077000000000002
0.4000000000000057,9.283
0.40800000000000125,-1.17
0.4160000000000039,8.077000000000002
0.4239999999999995,5.263
0.43200000000000216,7.273
0.44000000000000483,7.675000000000001
0.4480000000000004,-12.426
0.45600000000000307,8.881
0.46400000000000574,-7.2
0.4720000000000013,-4.386
0.480000000000004,-5.19
0.48799999999999955,-7.602
0.4960000000000022,-6.396
0.5040000000000049,4.0569999999999995
0.5120000000000005,8.077000000000002
0.5200000000000031,-11.22
0.5279999999999987,4.861
0.5360000000000014,-3.18
0.544000000000004,1.242
0.5519999999999996,6.469
0.5600000000000023,-3.18
0.568000000000005,-1.974
0.5760000000000005,4.4590000000000005
0.5840000000000032,-8.406
0.5919999999999987,7.675000000000001
0.6000000000000014,-12.426
0.6080000000000041,-12.024
0.6159999999999997,8.077000000000002
0.6240000000000023,5.665
0.632000000000005,-3.18
0.6400000000000006,-10.416
0.6480000000000032,1.6440000000000001
0.6559999999999988,6.871
0.6640000000000015,-6.396
0.6720000000000041,5.263
0.6799999999999997,-11.22
0.6880000000000024,-1.974
0.6960000000000051,-12.426
0.7040000000000006,2.448
0.7120000000000033,7.273
0.7199999999999989,8.479000000000001
0.7280000000000015,-1.17
0.7360000000000042,5.665
0.7439999999999998,0.036000000000000004
0.7520000000000024,-11.622
0.7600000000000051,-10.416
0.7680000000000007,0.036000000000000004
0.7760000000000034,-5.19
0.7839999999999989,-10.416
0.7920000000000016,7.273
